# 从 t=0 出发、逐步可行的 496 步动作序列，4960 秒达到 48610229060554 矿物。
#   0..105   data/beam105.bin#94 的动作历史（src/gen_hist.cpp 导出，tools/replay_hist.py 独立重放验证）
#   105..200 Pi3 自校正成长策略
#   200..440 src/target.cpp 以目标成长值 G*=767487393649185528 搜出的标定轨迹
#            （G* 由官方值 2F[496]=48610229060554 反标定，见 doc/model_vs_official.md）
#   440..496 56 步 LP 值束搜索兑现
# 这个值与 39 样例反推出的官方 2F[496] 逐位相同。每行 k p q；时间单位 10 秒。
T=496 minerals=48610229060554
76251469 202650 13917007
80294922 213399 14654995
84552790 224717 15432119
89036444 236632 16250451
93757856 249177 17112178
98729636 262392 18019600
103965056 276308 18975141
109478103 290960 19981352
115283491 306390 21040920
121396730 322633 22156676
127834138 339743 23331597
134612910 357761 24568821
141751145 376730 25871654
149267905 396709 27243572
157183264 417742 28688241
165518356 439897 30209517
174295442 463223 31811463
183537956 487788 33498356
193270583 513653 35274704
203519308 540891 37145245
214311503 569575 39114979
225675984 599777 41189162
237643100 631582 43373335
250244805 665073 45673331
263514754 700340 48095291
277488377 737479 50645680
292202995 776586 53331313
307697894 817765 56159359
324014458 861131 59137369
341196250 906794 62273298
359289162 954881 65575517
378341495 1005514 69052848
398404141 1058836 72714572
419530657 1114983 76570471
441777476 1174109 80630839
465203988 1236369 84906521
489872767 1301927 89408932
515849668 1370970 94150097
543204080 1443668 99142676
572009027 1520224 104400000
602341449 1600839 109936108
634282325 1685727 115765786
667916966 1775115 121904598
703335173 1869248 128368939
740631538 1968370 135176069
779905644 2072748 142344169
821262377 2182665 149892374
864812165 2298402 157840848
910671309 2420281 166210811
958962262 2548626 175024614
1009813985 2683774 184305797
1063362262 2826089 194079138
1119750093 2975949 204370743
1179128048 3133760 215208085
1241654691 3299932 226620111
1307496987 3474925 238637291
1376830760 3659190 251291717
1449841156 3853231 264617180
1526723134 4057558 278649264
1607682004 4272723 293425439
1692933945 4499296 308985164
1782706618 4737882 325369987
1877239742 4989124 342623663
1976785756 5253685 360792264
2081610485 5532278 379924307
2191993841 5825643 400070882
2308230596 6134564 421285786
2430631132 6459868 443625671
2559522313 6802419 467150194
2695248312 7163138 491922171
2838171577 7542983 518007752
2988673751 7942972 545476598
3147156741 8364170 574402057
3314043738 8807705 604861372
3489780404 9274760 636935877
3674836002 9766578 670711228
3869704710 10284481 706277611
4074906885 10829843 743730005
4290990496 11404128 783168418
4518532556 12008866 824698167
4758140690 12645667 868430150
5010454727 13316241 914481146
5276148442 14022372 962974128
5555931325 14765952 0
5850550499 15548956 0
6160792697 16373484 0
6487486376 17241735 0
6831503925 18156028 0
7193763987 19118804 0
7575233930 20132631 0
7976932405 21200222 0
8399932097 22324427 0
