# 【存疑】本序列由成长期 rollout 改进搜索产生，在本模型语义下逐步可行，
# 但同一管线在 t=173/331/496/502 会顶破官方样例蕴含的上界，故整体存疑。
# 表中【未】采用这里的数值，只采用官方样例本身蕴含的下界。详见 doc/findings.md。
# 每行 k p q = 本步 (基地造工人数, 建补给站数, 建基地数); 时间单位 10 秒
T=500 minerals=59772676245366
121401084 322648 22157470
127838725 339755 23332434
134617739 357772 24569703
141756231 376745 25872582
149273260 396721 27244550
157188903 417759 28689270
165524294 439914 30210600
174301694 463241 31812604
183544542 487803 33499559
193277515 513672 35275968
203526611 540911 37146579
214319191 569594 39116382
225684081 599798 41190640
237651625 631605 43374891
250253784 665097 45674970
263524207 700367 48097015
277498334 737505 50647497
292213477 776613 53333227
307708934 817796 56161373
324026081 861160 59139491
341208493 906826 62275532
359302049 954915 65577870
378355072 1005552 69055325
398418431 1058873 72717181
419545712 1115023 76573218
441793322 1174150 80633732
465220682 1236413 84909567
489890337 1301977 89412140
515868179 1371020 94153474
543223564 1443718 99146233
572029552 1520278 104403745
602363055 1600895 109940053
634305084 1685787 115769939
667940925 1775183 121908972
703360409 1869313 128373544
740658106 1968440 135180919
779933627 2072823 142349275
821291838 2182741 149897752
864843194 2298485 157846511
910703978 2420370 166216773
958996668 2548717 175030894
1009850211 2683870 184312409
1063400413 2826189 194086102
1119790264 2976057 204378074
1179170352 3133871 215215806
1241699235 3300052 226628241
1307543896 3475049 238645852
1376880155 3659321 251300733
1449893169 3853369 264626674
1526777909 4057704 278659260
1607739680 4272875 293435967
1692994682 4499457 308996249
1782770573 4738053 325381660
1877307090 4989303 342635955
1976856676 5253874 360805208
2081685164 5532477 379937937
2192072483 5825851 400085235
2308313403 6134785 421300900
2430718336 6460098 443641587
2559614137 6802665 467166953
2695345010 7163394 491939819
2838273395 7543254 518026337
2988780979 7943257 545496167
3147269644 8364471 574422665
3314162639 8808021 604883070
3489905599 9275091 636958729
3674967847 9766930 670735290
3869843536 10284849 706302950
4075053082 10830233 743756686
4291144436 11404536 783196516
4518694669 12009295 824727754
4758311389 12646123 868461306
5010634488 13316719 914513953
5276337726 14022876 963008677
5556130655 14766479 1014074969
5850760391 15549515 1067849200
6161013722 16374071 1124474962
6487719122 17242354 1184103468
6831749013 18156679 1
7194022072 19119489 0
7575505695 20133355 0
7977218592 21200983 0
8400233449 22325226 0
8845679898 23509085 0
9314747399 24755722 0
9808688578 26068465 0
10328822368 27450820 0
10876537778 1431662168 0
11453297330 1507580154 0
12060641246 1431662168 0
11453297331 1507580155 0
12060641246 1431662167 0
11453297331 1507580155 0
12060641246 1431662167 0
11453297331 1507580155 0
12060641246 1431662168 0
11453297331 1507580154 0
12060641246 1431662168 0
11453297331 1507580151 0
12060641246 0 0
11453297331 0 0
12060641238 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
